광역시도,기초지자체,배출연도,배출월,배출일,배출량(g),배출횟수
경기도,성남시중원구,2024,1,7,1636200,1187
경기도,성남시중원구,2024,1,8,1348050,978
경기도,성남시중원구,2024,1,9,1176300,884
경기도,성남시중원구,2024,1,10,1263450,971
경기도,성남시중원구,2024,1,11,1165400,896
경기도,성남시중원구,2024,1,12,1187350,907
경기도,성남시중원구,2024,1,13,1280400,985
경기도,성남시중원구,2024,1,14,1517350,1100
경기도,성남시중원구,2024,1,15,1405950,991
경기도,성남시중원구,2024,1,16,1167350,910
경기도,성남시중원구,2024,1,17,1093550,795
경기도,성남시중원구,2024,1,18,1351550,1009
경기도,성남시중원구,2024,1,19,1175300,926
경기도,성남시중원구,2024,1,20,1221900,916
경기도,성남시중원구,2024,1,21,1643000,1184
경기도,성남시중원구,2024,1,22,1137500,851
경기도,성남시중원구,2024,1,23,1045100,765
경기도,성남시중원구,2024,1,24,1168050,860
경기도,성남시중원구,2024,1,25,1076850,857
경기도,성남시중원구,2024,1,26,1189150,866
경기도,성남시중원구,2024,1,27,1297950,893
경기도,성남시중원구,2024,1,28,1513750,1129
경기도,성남시중원구,2024,1,29,1367000,978
경기도,성남시중원구,2024,1,30,1201600,889
경기도,성남시중원구,2024,1,31,1175200,909
경기도,수원시권선구,2024,1,1,37874900,22171
경기도,수원시권선구,2024,1,2,34236300,20723
경기도,수원시권선구,2024,1,3,31327350,19771
경기도,수원시권선구,2024,1,4,31342800,20012
경기도,수원시권선구,2024,1,5,28788450,18753
경기도,수원시권선구,2024,1,6,31541250,19366
경기도,수원시권선구,2024,1,7,41163850,24376
경기도,수원시권선구,2024,1,8,31995100,19893
경기도,수원시권선구,2024,1,9,29523750,18503
경기도,수원시권선구,2024,1,10,31581100,20480
경기도,수원시권선구,2024,1,11,29267250,19182
경기도,수원시권선구,2024,1,12,28341400,18459
경기도,수원시권선구,2024,1,13,30827450,18982
경기도,수원시권선구,2024,1,14,39952850,23787
경기도,수원시권선구,2024,1,15,31629700,19747
경기도,수원시권선구,2024,1,16,30466750,19613
경기도,수원시권선구,2024,1,17,27103150,17658
경기도,수원시권선구,2024,1,18,31951100,20778
경기도,수원시권선구,2024,1,19,28540000,18911
경기도,수원시권선구,2024,1,20,28605150,17770
경기도,수원시권선구,2024,1,21,42156760,25236
경기도,수원시권선구,2024,1,22,28110200,17719
경기도,수원시권선구,2024,1,23,26592200,17320
경기도,수원시권선구,2024,1,24,29399600,19007
경기도,수원시권선구,2024,1,25,28231200,18484
경기도,수원시권선구,2024,1,26,27367250,17999
경기도,수원시권선구,2024,1,27,29755390,18352
경기도,수원시권선구,2024,1,28,40147250,24080
경기도,수원시권선구,2024,1,29,31161500,19387
경기도,수원시권선구,2024,1,30,30232500,19603
경기도,수원시권선구,2024,1,31,31075700,20078
경기도,수원시영통구,2024,1,1,48804700,28915
경기도,수원시영통구,2024,1,2,44095450,24012
경기도,수원시영통구,2024,1,3,37813150,24130
경기도,수원시영통구,2024,1,4,40020450,24014
경기도,수원시영통구,2024,1,5,38160150,22279
경기도,수원시영통구,2024,1,6,36136100,22420
경기도,수원시영통구,2024,1,7,46991850,28204
경기도,수원시영통구,2024,1,8,42212450,26240
경기도,수원시영통구,2024,1,9,37405850,21232
경기도,수원시영통구,2024,1,10,38774150,25119
경기도,수원시영통구,2024,1,11,39270800,23442
경기도,수원시영통구,2024,1,12,37149950,22230
경기도,수원시영통구,2024,1,13,37124300,23095
경기도,수원시영통구,2024,1,14,44872400,26910
경기도,수원시영통구,2024,1,15,41795150,25763
경기도,수원시영통구,2024,1,16,39024950,23220
경기도,수원시영통구,2024,1,17,32258100,21254
경기도,수원시영통구,2024,1,18,41854950,25023
경기도,수원시영통구,2024,1,19,37586200,22583
경기도,수원시영통구,2024,1,20,33320400,20945
경기도,수원시영통구,2024,1,21,46755800,28353
경기도,수원시영통구,2024,1,22,37917400,24134
경기도,수원시영통구,2024,1,23,33244000,20073
경기도,수원시영통구,2024,1,24,34329250,22847
경기도,수원시영통구,2024,1,25,33247350,21934
경기도,수원시영통구,2024,1,26,35184200,21504
경기도,수원시영통구,2024,1,27,35086050,21954
경기도,수원시영통구,2024,1,28,43747950,27214
경기도,수원시영통구,2024,1,29,38269650,23996
경기도,수원시영통구,2024,1,30,39282650,23446
